YearMonth,MonthlyRevenue,MonthlyOrders,MonthlyCustomers,MonthlyQuantity,MonthlyAvgOrderValue,RevenueGrowthRate,CustomerGrowthRate,OrderGrowthRate
2010-12,568055.72,1396,885,311850,406.9167048710602,,,
2011-01,564241.64,984,739,348808,573.4163008130081,-0.6714270916944431,-16.497175141242938,-29.51289398280802
2011-02,443546.02,992,757,265384,447.1230040322581,-21.390767969552904,2.435723951285529,0.8130081300812941
2011-03,585262.85,1312,973,348178,446.08448932926825,31.950874004009755,28.533685601056803,32.258064516129025
2011-04,455681.91,1140,853,291981,399.7209736842105,-22.14063988513879,-12.332990750256933,-13.109756097560975
2011-05,660932.9,1545,1055,373336,427.788284789644,45.042602195904614,23.68112543962486,35.52631578947369
2011-06,654932.56,1390,990,363421,471.17450359712234,-0.907859179048276,-6.16113744075829,-10.032362459546928
2011-07,593231.9,1321,946,369123,449.0778955336866,-9.420918086588948,-4.444444444444439,-4.964028776978413
2011-08,637157.24,1268,933,397854,502.48993690851734,7.404413012853817,-1.374207188160681,-4.012112036336113
2011-09,941830.811,1742,1261,544091,540.6606262916188,47.81764247079732,35.15541264737405,37.38170347003154
2011-10,1006372.9,1905,1361,592307,528.2797375328084,6.8528326156023445,7.93021411578112,9.357060849598152
2011-11,1143275.77,2644,1661,664697,432.40384644478064,13.603592664309616,22.04261572373254,38.792650918635175
2011-12,513395.43,777,615,286470,660.7405791505792,-55.09434875891755,-62.974111980734506,-70.61270801815431
